time,position1-,position2-,v_1,v_2
67.92442059595845,53921625685.43149,138526727032.03293,-2398873212.4328856,976618978.5322423
68.00776344331545,53721640334.82166,138607976067.85898,-2400226446.5308895,973134987.9790826
68.09110629067246,53521542415.09035,138688934662.8625,-2401574560.4001813,969649192.4869591
68.17444913802946,53321332353.118256,138769602666.94867,-2402917551.852613,966161599.7384102
68.25779198538646,53121010575.38403,138849979930.70056,-2404255418.707918,962672217.4115392
68.34113483274346,52920577508.90684,138930066305.2838,-2405588158.795542,959181053.2014405
68.42447768010047,52720033581.24615,139009861642.47266,-2406915769.9581003,955688114.8122033
68.50782052745748,52519379220.119385,139089365794.68668,-2408238250.0503016,952193409.9490365
68.59116337481449,52318614853.40213,139168578614.9908,-2409555596.9389443,948696946.318271
68.67450622217149,52117740909.12786,139247499957.09528,-2410867808.5029206,945198731.6273564
68.75784906952849,51916757815.48812,139326129675.35565,-2412174882.6332135,941698773.5848631
68.84119191688549,51715666000.832466,139404467624.7728,-2413476817.232898,938197079.9004817
68.9245347642425,51514465893.66848,139482513660.99292,-2414773610.217142,934693658.2850236
69.0078776115995,51313157922.66176,139560267640.30762,-2416065259.513203,931188516.4504198
69.0912204589565,51111742516.63592,139637729419.65372,-2417351763.0604324,927681662.1097225
69.17456330631352,50910220104.57258,139714898856.61343,-2418633118.810273,924173102.9771029
69.25790615367052,50708591115.61146,139791775809.41428,-2419909324.7262583,920662846.7678547
69.34124900102752,50506855979.0502,139868360136.92908,-2421180378.784015,917150901.19839
69.42459184838452,50305015124.34453,139944651698.676,-2422446278.971261,913637273.9862419
69.50793469574153,50103068981.10814,140020650354.81857,-2423707023.2878065,910121972.8500639
69.59127754309853,49901017979.11279,140096355966.16562,-2424962609.745553,906605005.5096296
69.67462039045553,49698862548.28824,140171768394.17126,-2426213036.368494,903086379.6858332
69.75796323781255,49496603118.72224,140246887500.93503,-2427458301.192715,899566103.1006885
69.84130608516955,49294240120.66066,140321713149.20166,-2428698402.266394,896044183.4773313
69.92464893252655,49091773984.507286,140396245202.36133,-2429933337.6497993,892520628.540016
70.00799177988355,48889205140.823975,140470483524.44943,-2431163105.415292,888995446.0141183
70.09133462724056,48686534020.330574,140544427980.14682,-2432387703.647325,885468643.6261337
70.17467747459756,48483761053.90498,140618078434.77957,-2433607130.4424434,881940229.1036783
70.25802032195456,48280886672.5831,140691434754.31912,-2434821383.9092836,878410210.1754885
70.34136316931156,48077911307.55885,140764496805.3822,-2436030462.1685734,874878594.571421
70.42470601666858,47874835390.18415,140837264455.23096,-2437234363.353134,871345390.0224522
70.50804886402558,47671659351.96904,140909737571.77274,-2438433085.607877,867810604.2606808
70.59139171138258,47468383624.58145,140981916023.5603,-2439626627.089806,864274245.0193238
70.67473455873959,47265008639.84742,141053799679.79172,-2440814985.968017,860736320.0327194
70.75807740609659,47061534829.750946,141125388410.3104,-2441998160.4236984,857196837.0363257
70.84142025345359,46857962626.4341,141196682085.605,-2443176148.6501284,853655803.7667216
70.9247631008106,46654292462.19694,141267680576.8096,-2444348948.8526793,850113227.961606
71.0081059481676,46450524769.49755,141338383755.70358,-2445516559.248814,846569117.3597986
71.09144879552461,46246659980.95201,141408791494.71164,-2446678978.0680876,843023479.701238
71.17479164288162,46042698529.33452,141478903666.90375,-2447836203.552147,839476322.7269857
71.25813449023862,45838640847.577194,141548720145.9953,-2448988233.9547305,835927654.1792215
71.34147733759562,45634487368.7702,141618240806.34695,-2450135067.541669,832377481.8012459
71.42482018495262,45430238526.16172,141687465522.96466,-2451276702.5908847,828825813.3374801
71.50816303230962,45225894752.70879,141756394171.50146,-2452413137.3889008,825272656.5288529
71.59150587966663,45021456481.60694,141825026628.22546,-2453544370.2313805,821718019.1280158
71.67484872702364,44816924146.65385,141893362770.03638,-2454670399.427913,818161908.8978447
71.75819157438065,44612298181.76702,141961402474.48282,-2455791223.3000684,814604333.6016047
71.84153442173765,44407579020.98361,142029145619.76227,-2456906840.1813965,811045301.002945
71.92487726909465,44202767098.4605,142096592084.72113,-2458017248.417428,807484818.8659023
72.00822011645165,43997862848.474335,142163741748.85455,-2459122446.365673,803922894.9548998
72.09156296380866,43792866705.42145,142230594492.3067,-2460222432.3956223,800359537.034747
72.17490581116566,43587779103.81794,142297150195.8705,-2461317204.8887467,796794752.8706402
72.25824865852266,43382600478.299614,142363408740.98782,-2462406762.2384963,793228550.228162
72.34159150587968,43177331263.62196,142429370009.7494,-2463491102.850303,789660936.8732815
72.42493435323668,42971971894.66034,142495033884.89474,-2464570225.1415777,786091920.5723553
72.50827720059368,42766522806.40968,142560400249.81238,-2465644127.541712,782521509.0921252
72.59162004795068,42560984433.984726,142625468988.5396,-2466712808.492076,778949710.1997203
