# t,q1,q2,p1,p2,H
5.234205700950158580e-01,5.066047534053329526e-01,1.124316667899248001e+00,-8.257316469824367289e+00,-5.774745485773725484e+00,2.942999999999893035e+01
5.267544590765127488e-01,4.977790745671423767e-01,1.112187366527360055e+00,-8.270247498107289985e+00,-5.822712712700541360e+00,2.943000000000234451e+01
5.300883480580096396e-01,4.890272400130462604e-01,1.099855426650313772e+00,-8.282612317142810099e+00,-5.870563929915243229e+00,2.943000000000225214e+01
5.334222370395065305e-01,4.803517768913792008e-01,1.087320208882586181e+00,-8.294431644191703867e+00,-5.918272952783508956e+00,2.943000000000080973e+01
5.367561260210034213e-01,4.717552041416605002e-01,1.074581111907906505e+00,-8.305726929511887846e+00,-5.965812907281050848e+00,2.942999999999908312e+01
5.400900150025004232e-01,4.632400289157521112e-01,1.061637573397026468e+00,-8.316520323203253184e+00,-6.013156262523347451e+00,2.943000000000132843e+01
5.434239039839973140e-01,4.548087427116938586e-01,1.048489071142542528e+00,-8.326834638599102334e+00,-6.060274866679220551e+00,2.943000000000399297e+01
5.467577929654942048e-01,4.464638171962876378e-01,1.035135124443750998e+00,-8.336693312053169436e+00,-6.107139986414639843e+00,2.943000000000221306e+01
5.500916819469910957e-01,4.382076996974595962e-01,1.021575295774407310e+00,-8.346120359028041946e+00,-6.153722349967404526e+00,2.943000000000221306e+01
5.534255709284880975e-01,4.300428083469865492e-01,1.007809192769856255e+00,-8.355140326418135643e+00,-6.199992193930028428e+00,2.943000000000078842e+01
5.567594599099849884e-01,4.219715268389360729e-01,9.938364705756312922e-01,-8.363778240908299466e+00,-6.245919313922792426e+00,2.942999999999916128e+01
5.600933488914818792e-01,4.139961987842687430e-01,9.796568345994574045e-01,-8.372059553348357497e+00,-6.291473119194462171e+00,2.943000000000398586e+01
5.634272378729787700e-01,4.061191216315938601e-01,9.652700437124749344e-01,-8.380010079043790583e+00,-6.336622691248755324e+00,2.943000000000640881e+01
5.667611268544757719e-01,3.983425401196421523e-01,9.506759139525224889e-01,-8.387655933875207026e+00,-6.381336846583809397e+00,2.943000000000194305e+01
