q,p,q_dot,p_dot,total_energy
-0.09144586561144426,-0.46800313105724833,-4.680031310572483,9.933458656114443,6.961696647033687
-0.1028398335993928,-0.44301767101229694,-4.430176710122969,10.047398335993927,6.961715900252475
-0.11360675876519535,-0.4177545692641086,-4.177545692641085,10.155067587651954,6.961746236194169
-0.12373943021211345,-0.39223005361200086,-3.9223005361200083,10.256394302121135,6.96178522881151
-0.13323109963971844,-0.3664604110022545,-3.664604110022545,10.351310996397183,6.961830081366369
-0.14207548134389134,-0.34046198752811313,-3.404619875281131,10.439754813438913,6.961877802994013
-0.150266752216823,-0.3142511884297833,-3.1425118842978326,10.521667522168231,6.961925369500144
-0.15779955174701404,-0.2878444780944346,-2.8784447809443456,10.596995517470141,6.9619698677113995
-0.1646689820192748,-0.26125838005619956,-2.6125838005619952,10.665689820192748,6.962008622776109
-0.1708706077147254,-0.23450947699617358,-2.3450947699617357,10.727706077147255,6.962039307888201
-0.1764004561107957,-0.20761441074241538,-2.076144107424154,10.783004561107957,6.9620600359833515
-0.18125501708122538,-0.18058988226994627,-1.8058988226994626,10.831550170812255,6.962069433032516
-0.18543124309606376,-0.15345265170075056,-1.5345265170075055,10.873312430960638,6.962066692634117
-0.1889265492216701,-0.12621953830377586,-1.2621953830377586,10.908265492216701,6.962051611682375
-0.19173881312071325,-0.09890742049493223,-0.9890742049493223,10.936388131207131,6.962024606965217
-0.19386637505217197,-0.07153323583709337,-0.7153323583709337,10.95766375052172,6.961986712621511
-0.19530803787133466,-0.04411398104009545,-0.4411398104009545,10.972080378713349,6.961939558463352
-0.19606306702979953,-0.016666711960737657,-0.16666711960737657,10.979630670297995,6.961885329245332
-0.19613119057547457,0.010791456397217791,0.10791456397217791,10.980311905754746,6.961826705038836
-0.19551259915257746,0.03824334988304556,0.38243349883045563,10.974125991525774,6.961766782945463
-0.1942079460016358,0.06567173519905745,0.6567173519905745,10.961079460016357,6.9617089804599
-0.1922183469594867,0.09305931990060246,0.9305931990060246,10.941183469594867,6.961656920868611
-0.18954538045927732,0.12038875239606628,1.2038875239606628,10.914453804592773,6.96161430114689
-0.18619108753046437,0.14764262194687194,1.4764262194687194,10.880910875304645,6.961584742892878
-0.18215797179881438,0.17480345866747893,1.7480345866747893,10.840579717988144,6.9615716269133605
-0.17744854720830305,0.20185506845951165,2.0185506845951164,10.793485472083033,6.961575725117344
-0.17206499082648696,0.22878249210039325,2.2878249210039323,10.739649908264868,6.961593101063012
-0.1660105246063527,0.25556818787504787,2.5556818787504785,10.679105246063529,6.9616218860937575
-0.15928880249526142,0.2821947571306426,2.821947571306426,10.611888024952615,6.961659727466747
-0.15190388729789658,0.308645025546917,3.0864502554691695,10.538038872978966,6.961703873395075
-0.14386025067626407,0.3349020431361827,3.349020431361827,10.45760250676264,6.9617513519563605
-0.1351627731496923,0.36094908424332395,3.6094908424332393,10.370627731496922,6.961799134345121
-0.12581674409483204,0.38676964754579707,3.8676964754579704,10.277167440948322,6.961844281777914
-0.11582786174565649,0.4123474560536309,4.123474560536309,10.177278617456565,6.961884075436436
-0.10520223319346132,0.4376664571094265,4.376664571094264,10.071022331934612,6.961916128909872
